elasticity,momentum_lookup,momentum_lookup_rolling,volatility_regime_momentum,momentum_logistic_rolling,hidden_symmetric_margin,guarded_volatility_regime_momentum
2,26330.920057656942,26297.88906196346,26278.23837264269,25575.374992170047,28003.572009774565,26488.021711210942
3,26330.920057656942,26297.88906196346,26278.238372642685,25575.667757029903,27572.294850621027,26342.498328007718
4,26330.920057656942,26297.88906196346,26278.238372642685,25575.947466778623,27178.201659173166,26210.42050084158
5,26330.920057656942,26297.88906196346,26278.238372642685,25576.21438861542,26812.13724966855,26090.121028964597
6,26330.920057656942,26297.88906196346,26278.238372642685,25576.468811085415,26487.27848286096,25980.18042549093
7,26330.920057656942,26297.88906196346,26278.238372642685,25576.711040164682,26198.478451814568,25879.38525097996
8,26330.920057656942,26297.88906196346,26278.238372642685,25576.94139577053,25931.35520271401,25786.694079987927
9,26330.920057656942,26297.88906196346,26278.238372642685,25577.160208657642,25683.800342603965,25701.209681859855
10,26330.920057656942,26297.88906196346,26278.238372642685,25577.367817663482,25458.165885968472,25622.156143508386
11,26330.920057656942,26297.88906196346,26278.23837264268,25577.56456727032,25242.203105680033,25548.859998221433
12,26330.920057656942,26297.88906196346,26278.23837264268,25577.750805453154,25048.261733293566,25480.734601410262
13,26330.920057656942,26297.88906196346,26278.238372642685,25577.92688178663,24873.4471818906,25417.267195697616
14,26330.920057656942,26297.88906196346,26278.23837264268,25578.093145785355,24707.47318773698,25358.008070195527
15,26330.920057656942,26297.88906196346,26278.238372642685,25578.249945454943,24550.036938354115,25302.561536823072
16,26330.920057656942,26297.88906196346,26278.238372642685,25578.397626033362,24419.33720820147,25250.578349977503
17,26330.920057656942,26297.88906196346,26278.238372642685,25578.53652890265,24288.806470726962,25201.749318528957
18,26330.920057656942,26297.88906196346,26278.238372642685,25578.666990655027,24158.606243920647,25155.799907023324
19,26330.920057656942,26297.88906196345,26278.238372642685,25578.789342296714,24041.714220615875,25112.48564858096
20,26330.920057656942,26297.88906196345,26278.238372642685,25578.90390857559,23929.18805572962,25071.5882698424
21,26330.920057656942,26297.88906196346,26278.238372642685,25579.011007420017,23822.654795624418,25032.912365173415
22,26330.920057656942,26297.88906196346,26278.238372642685,25579.110949476377,23719.814147314955,24996.28253673892
23,26330.920057656942,26297.88906196345,26278.238372642685,25579.2040377353,23623.70624248334,24961.5409869932
24,26330.920057656942,26297.88906196345,26278.238372642685,25579.29056723663,23528.423698678107,24928.545403007687
25,26330.920057656942,26297.88906196346,26278.238372642685,25579.37082484418,23438.941690699077,24897.167142898765
26,26330.920057656942,26297.88906196346,26278.238372642685,25579.445089082892,23366.53628545462,24867.289670121336
27,26330.920057656942,26297.88906196345,26278.238372642685,25579.513630030397,23283.46909754273,24838.807189287712
28,26330.920057656942,26297.88906196345,26278.238372642685,25579.576709257188,23214.174796145366,24811.623453406195
29,26330.920057656942,26297.88906196346,26278.238372642685,25579.634579809248,23143.4154907466,24785.6507413991
30,26330.920057656942,26297.88906196346,26278.238372642685,25579.6874862277,23091.876785010765,24760.808944895423
31,26330.920057656942,26297.88906196345,26278.238372642685,25579.73566460078,23028.339795866537,24737.024767192055
32,26330.920057656942,26297.889061963448,26278.23837264268,25579.77934264445,22966.55711622826,24714.2310267026
